Date,Agegroup,Percent_at_least_one_dose
2021-03-07,40-49yrs,0.049
2021-03-07,50-59yrs,0.053
2021-03-07,60-69yrs,0.046
2021-03-07,70-79yrs,0.034
2021-03-07,80+,0.216
2021-03-07,Ontario_12plus,0.0484
2021-03-08,12-17yrs,0.001
2021-03-08,18-29yrs,0.029
2021-03-08,30-39yrs,0.045
2021-03-08,40-49yrs,0.051
2021-03-08,50-59yrs,0.055
2021-03-08,60-69yrs,0.047
2021-03-08,70-79yrs,0.035
2021-03-08,80+,0.227
2021-03-08,Ontario_12plus,0.05
2021-03-09,12-17yrs,0.001
2021-03-09,18-29yrs,0.03
2021-03-09,30-39yrs,0.046
2021-03-09,40-49yrs,0.052
2021-03-09,50-59yrs,0.056
2021-03-09,60-69yrs,0.048
2021-03-09,70-79yrs,0.036
2021-03-09,80+,0.244
2021-03-09,Ontario_12plus,0.0521
2021-03-10,12-17yrs,0.001
2021-03-10,18-29yrs,0.031
2021-03-10,30-39yrs,0.048
2021-03-10,40-49yrs,0.054
2021-03-10,50-59yrs,0.058
2021-03-10,60-69yrs,0.05
2021-03-10,70-79yrs,0.037
2021-03-10,80+,0.265
2021-03-10,Ontario_12plus,0.0546
2021-03-11,12-17yrs,0.001
2021-03-11,18-29yrs,0.033
2021-03-11,30-39yrs,0.049
2021-03-11,40-49yrs,0.056
2021-03-11,50-59yrs,0.06
2021-03-11,60-69yrs,0.052
2021-03-11,70-79yrs,0.039
2021-03-11,80+,0.293
2021-03-11,Ontario_12plus,0.0575
2021-03-12,12-17yrs,0.001
2021-03-12,18-29yrs,0.034
2021-03-12,30-39yrs,0.051
2021-03-12,40-49yrs,0.058
2021-03-12,50-59yrs,0.062
2021-03-12,60-69yrs,0.056
2021-03-12,70-79yrs,0.041
2021-03-12,80+,0.321
2021-03-12,Ontario_12plus,0.0608
2021-03-13,12-17yrs,0.001
2021-03-13,18-29yrs,0.035
2021-03-13,30-39yrs,0.053
2021-03-13,40-49yrs,0.06
2021-03-13,50-59yrs,0.064
2021-03-13,60-69yrs,0.064
2021-03-13,70-79yrs,0.044
