cases,cumulative_cases,date_report,health_region,province
0,0,2020-02-06,Central,Alberta
0,0,2020-02-07,Central,Alberta
0,0,2020-02-08,Central,Alberta
0,0,2020-02-09,Central,Alberta
0,0,2020-02-10,Central,Alberta
0,0,2020-02-11,Central,Alberta
0,0,2020-02-12,Central,Alberta
0,0,2020-02-13,Central,Alberta
0,0,2020-02-14,Central,Alberta
0,0,2020-02-15,Central,Alberta
0,0,2020-02-16,Central,Alberta
0,0,2020-02-17,Central,Alberta
0,0,2020-02-18,Central,Alberta
0,0,2020-02-19,Central,Alberta
0,0,2020-02-20,Central,Alberta
0,0,2020-02-21,Central,Alberta
0,0,2020-02-22,Central,Alberta
0,0,2020-02-23,Central,Alberta
0,0,2020-02-24,Central,Alberta
0,0,2020-02-25,Central,Alberta
0,0,2020-02-26,Central,Alberta
0,0,2020-02-27,Central,Alberta
0,0,2020-02-28,Central,Alberta
0,0,2020-02-29,Central,Alberta
0,0,2020-03-01,Central,Alberta
0,0,2020-03-02,Central,Alberta
0,0,2020-03-03,Central,Alberta
0,0,2020-03-04,Central,Alberta
0,0,2020-03-05,Central,Alberta
0,0,2020-03-06,Central,Alberta
0,0,2020-03-07,Central,Alberta
0,0,2020-03-08,Central,Alberta
0,0,2020-03-09,Central,Alberta
0,0,2020-03-10,Central,Alberta
1,1,2020-03-11,Central,Alberta
0,1,2020-03-12,Central,Alberta
0,1,2020-03-13,Central,Alberta
0,1,2020-03-14,Central,Alberta
0,1,2020-03-15,Central,Alberta
1,2,2020-03-16,Central,Alberta
1,3,2020-03-17,Central,Alberta
0,3,2020-03-18,Central,Alberta
0,3,2020-03-19,Central,Alberta
1,4,2020-03-20,Central,Alberta
3,7,2020-03-21,Central,Alberta
3,10,2020-03-22,Central,Alberta
7,17,2020-03-23,Central,Alberta
11,28,2020-03-24,Central,Alberta
7,35,2020-03-25,Central,Alberta
2,37,2020-03-26,Central,Alberta
6,43,2020-03-27,Central,Alberta
3,46,2020-03-28,Central,Alberta
0,46,2020-03-29,Central,Alberta
